,consistency,relevance,coherence,fluency
rouge-anyref-bart-default_rougeL,0.354,0.502,0.425,0.208
rouge-anyref-bart-default_rougeLsum,0.354,0.502,0.425,0.208
rouge-anyref-bart-min-0.2-0.5_rouge1,0.38,0.5,0.415,0.314
rouge-anyref-bart-min-0.2-0.5_rouge2,0.386,0.444,0.387,0.243
rouge-anyref-bart-min-0.2-0.5_rougeL,0.395,0.478,0.412,0.254
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.395,0.478,0.412,0.254
rouge-anyref-bart-min-0.5-0.7_rouge1,0.38,0.5,0.415,0.314
rouge-anyref-bart-min-0.5-0.7_rouge2,0.386,0.444,0.387,0.243
rouge-anyref-bart-min-0.5-0.7_rougeL,0.395,0.478,0.412,0.254
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.395,0.478,0.412,0.254
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.38,0.5,0.415,0.314
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.386,0.444,0.387,0.243
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.395,0.478,0.412,0.254
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.395,0.478,0.412,0.254
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.38,0.5,0.415,0.314
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.386,0.444,0.387,0.243
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.395,0.478,0.412,0.254
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.395,0.478,0.412,0.254
rouge-anyref-bart-constant-16-32_rouge1,0.38,0.5,0.415,0.314
rouge-anyref-bart-constant-16-32_rouge2,0.386,0.444,0.387,0.243
rouge-anyref-bart-constant-16-32_rougeL,0.395,0.478,0.412,0.254
rouge-anyref-bart-constant-16-32_rougeLsum,0.395,0.478,0.412,0.254
rouge-anyref-bart-constant-32-64_rouge1,0.371,0.506,0.42,0.319
rouge-anyref-bart-constant-32-64_rouge2,0.377,0.448,0.388,0.241
rouge-anyref-bart-constant-32-64_rougeL,0.385,0.482,0.415,0.254
