P,R,F
7.926583513617515564e-01,5.369206529554970686e-01,6.401945852060537678e-01
8.221415698528290461e-01,5.433930566004656626e-01,6.543166492393798217e-01
8.326748758554458618e-01,5.743052143295971357e-01,6.797672922040275401e-01
7.791018684705097730e-01,6.021410181708292120e-01,6.792855867375697798e-01
9.205306172370910645e-01,5.115716487442681926e-01,6.576588512788335006e-01
7.610501721501350403e-01,5.519729167769809042e-01,6.398654934218777068e-01
8.882855772972106934e-01,5.643639403198837945e-01,6.902096375664360517e-01
7.750290334224700928e-01,5.541495363646691263e-01,6.462366897910468699e-01
8.514582465092340735e-01,5.850725574504345161e-01,6.935665458398432293e-01
9.749748110771179199e-01,6.135131448660928744e-01,7.531185367458107516e-01
7.688774205744266510e-01,6.393065856596857888e-01,6.981309209054350484e-01
7.581542320549488068e-01,5.967567867993079922e-01,6.678426511019096568e-01
7.795876450836658478e-01,6.267363335361185728e-01,6.948553957379277612e-01
9.652731418609619141e-01,6.080047616485467765e-01,7.460737422597011337e-01
7.584342099726200104e-01,6.057809425383499091e-01,6.735667606753812375e-01
7.775313593447208405e-01,6.680543335135450400e-01,7.186473920143406913e-01
8.334284548958141858e-01,6.785307385257838275e-01,7.480450894036432263e-01
7.837963141500949860e-01,6.284818968822046825e-01,6.975988023298420604e-01
9.635867476463317871e-01,5.720932300096934764e-01,7.179379335230241521e-01
7.305027581751346588e-01,6.013408262551445116e-01,6.596587426902809081e-01
9.209931045770645142e-01,6.321155426582110159e-01,7.496887704804722219e-01
7.727211304008960724e-01,6.424913844189692469e-01,7.016142998202007375e-01
8.326565250754356384e-01,6.908428179695433879e-01,7.551493642709878884e-01
9.542881846427917480e-01,5.765843488102367909e-01,7.188418623965725507e-01
7.868787050247192383e-01,6.577485687399314829e-01,7.165423931851624406e-01
7.288614114125568921e-01,6.157894907361369796e-01,6.675713326540847481e-01
8.194757600625355298e-01,5.648830482515238005e-01,6.687687650517593063e-01
9.513307213783264160e-01,5.555929456348136508e-01,7.014988872145276888e-01
8.025856912136077881e-01,6.527198197919938938e-01,7.199362385078778015e-01
7.909047603607177734e-01,6.472549213696334736e-01,7.119056457795031045e-01
8.591452922139848347e-01,7.147246924371032373e-01,7.803088701415893391e-01
7.914985567331314087e-01,6.793767496690912289e-01,7.311642455354215864e-01
9.468440413475036621e-01,5.482233635907581837e-01,6.943928058746363652e-01
7.762834727764129639e-01,6.528289188330961279e-01,7.092238556127495874e-01
8.800084441900253296e-01,6.512007828233605800e-01,7.485093188283176158e-01
7.312119205792744214e-01,6.233136137410745237e-01,6.729653049405375231e-01
7.907329946756362915e-01,6.460989476260492470e-01,7.111364115342770909e-01
9.471432566642761230e-01,5.293394182857713570e-01,6.791278611283685374e-01
7.950923085212707742e-01,6.144901474839762345e-01,6.932214399308501696e-01
7.945898532867432529e-01,6.343554209721715686e-01,7.054887124957834876e-01
7.777186632156372070e-01,5.560036960401032458e-01,6.484324840569720694e-01
9.428311586380004883e-01,5.077155458299736912e-01,6.600132692852118677e-01
7.806641906499862671e-01,6.116804293896022093e-01,6.859178402718899559e-01
8.312802414099375037e-01,6.392804321489835573e-01,7.227463667709236317e-01
8.199133078257242468e-01,6.192086455069090167e-01,7.055655117985804026e-01
7.636111378669738770e-01,5.935399262528670006e-01,6.679193060197305964e-01
9.349206686019897461e-01,5.235489517450332420e-01,6.712196526861806678e-01
7.905777931213379128e-01,5.967529447455155456e-01,6.801256733069624971e-01
9.203256865342457349e-01,6.783167004585265447e-01,7.810030412260802191e-01
7.345788478851318359e-01,5.800976651279550200e-01,6.482620938194343374e-01
8.244463602701822547e-01,6.281971953417125887e-01,7.130653479727876443e-01
9.082178473472595215e-01,5.360789536326019400e-01,6.742055690299376680e-01
7.398074194788932800e-01,5.598799567899586105e-01,6.373891962232184349e-01
7.878814280033111794e-01,6.985963708088721580e-01,7.405574528871512463e-01
7.509221509099006653e-01,6.358738103766500283e-01,6.886257859481108579e-01
9.199422597885131836e-01,5.486998552525484962e-01,6.873998499934705908e-01
7.788558378815650940e-01,6.564137207137213936e-01,7.124120418798661758e-01
7.634960487484931946e-01,6.834413985043396034e-01,7.212541334111028934e-01
7.846492350101471613e-01,6.314021805186330605e-01,6.997334030313887565e-01
7.528342232108116150e-01,5.741774106835141334e-01,6.514794503927323621e-01
9.181027412414550781e-01,5.454416975930884703e-01,6.843270412019522020e-01
7.198355421423912048e-01,6.289303511565114135e-01,6.713194966507389783e-01
8.875342249870300515e-01,6.015034693258779486e-01,7.170468786842786324e-01
7.966696321964263916e-01,6.431554835519672775e-01,7.117287188869931835e-01
8.005192130804061890e-01,6.725831591052773284e-01,7.309956883162540553e-01
9.473401010036468506e-01,6.424316347473197908e-01,7.656460812117490411e-01
7.879025563597679138e-01,7.285222432679600013e-01,7.570497897115541219e-01
8.332863400379816321e-01,7.197670591374238924e-01,7.723778959654249432e-01
7.831798717379570007e-01,6.920081141094367450e-01,7.347766267748331304e-01
9.593656659126281738e-01,6.235564263330566348e-01,7.558408959147462358e-01
7.535516247153282166e-01,6.575535056491692565e-01,7.022871674929000996e-01
7.746191397309303284e-01,7.571851968765258567e-01,7.658029577334917182e-01
8.238497128089268262e-01,6.938861529860231858e-01,7.533035500353111313e-01
7.824506238102912903e-01,6.779902739657296395e-01,7.264846028478643136e-01
9.478700160980224609e-01,6.338472269475460275e-01,7.596867061442896807e-01
7.659586146473884583e-01,7.092469431459903495e-01,7.365126888860153986e-01
8.115019748608270911e-01,7.438154834840032814e-01,7.761858912349497430e-01
7.783669754862785339e-01,7.094202585518359916e-01,7.422960600339982840e-01
8.040764629840850830e-01,7.525597179929415237e-01,7.774656192923160569e-01
9.415959119796752930e-01,5.877698725410576142e-01,7.237532247302239652e-01
8.082646489143372470e-01,6.720131029342782947e-01,7.338682676689407547e-01
8.389354646205902100e-01,7.194005213249689001e-01,7.745834223803160778e-01
7.813989967107772827e-01,6.195861327237096594e-01,6.911479248629052163e-01
8.862348198890686035e-01,5.509119699655593561e-01,6.794537258459816265e-01
7.763214111328125000e-01,7.076772310953030054e-01,7.404117106813598026e-01
8.240582346916198730e-01,7.117868490602777820e-01,7.638189821598904139e-01
8.341106772422790527e-01,6.705473216100670264e-01,7.434389488877533037e-01
7.761273235082626343e-01,6.598851442679591894e-01,7.133014543204726499e-01
8.982210159301757812e-01,5.604666040289676410e-01,6.902408378291924329e-01
7.486742436885833740e-01,6.583058097581753199e-01,7.005879053212212826e-01
9.265477210283279419e-01,6.642995111044796008e-01,7.738080510331544204e-01
8.073061605294544751e-01,6.713740017222261658e-01,7.330920931330019430e-01
8.156996011734009011e-01,6.965638739966798498e-01,7.514389966298541390e-01
8.943412303924560547e-01,4.437935612137828278e-01,5.932180854512560941e-01
8.160882741212844849e-01,5.455092489719390869e-01,6.539137945835228338e-01
7.706818319857120514e-01,4.531006512471607572e-01,5.706838343601828845e-01
7.963085919618606567e-01,5.155140167474746571e-01,6.258593777655225843e-01
9.518694877624511719e-01,3.811479429607944613e-01,5.443336131485692064e-01
8.029784597456455231e-01,5.315841179234640501e-01,6.396861464240214401e-01
8.311480407913525159e-01,5.367195818253925887e-01,6.522464915649477391e-01
8.727011034886041907e-01,5.817057792629514168e-01,6.980925097219781161e-01
8.065610677003860474e-01,5.182571471163204269e-01,6.310390863388425364e-01
9.359229207038879395e-01,4.415937557390757773e-01,6.000620169668452464e-01
7.768118865787982941e-01,5.329249574031148518e-01,6.321612520369110921e-01
9.217453598976135254e-01,5.312947695170130435e-01,6.740605144022654427e-01
8.189395293593406677e-01,5.223978008542742302e-01,6.378890671771918486e-01
8.527502694300241881e-01,5.641264895881925590e-01,6.790414380461441413e-01
9.440741539001464844e-01,5.836455124508903580e-01,7.213426068681408898e-01
7.827284783124923706e-01,6.235277175185192089e-01,6.941166239349760847e-01
7.598672956228256226e-01,5.772957636649350688e-01,6.561176928477885362e-01
7.729937732219696045e-01,5.925155424748559385e-01,6.708278290090993190e-01
9.427254796028137207e-01,5.262870821787650755e-01,6.754799174134105133e-01
7.390571832656860352e-01,6.293572625481939076e-01,6.798101366871044382e-01
7.796116918325424194e-01,6.192320552935083322e-01,6.902279847283223635e-01
7.893002033233642578e-01,5.898483122687742108e-01,6.751519325731137888e-01
7.302980025609333570e-01,5.184481152928019920e-01,6.064028830464983644e-01
9.400974512100219727e-01,5.436403294015361709e-01,6.889018999498808249e-01
7.635756880044937134e-01,5.851413140813989111e-01,6.625551257803502514e-01
8.812998334566751746e-01,5.880919472280755622e-01,7.054419957457348511e-01
7.348677217960357666e-01,5.416507404073175325e-01,6.236363317851523203e-01
7.523663878440857156e-01,5.750266123248870542e-01,6.518501983572676517e-01
9.485013484954833984e-01,4.593004721966458814e-01,6.189040400998346847e-01
8.272390544414520708e-01,6.402413935922995902e-01,7.218258829399956111e-01
8.235052406787872759e-01,6.322079408701842818e-01,7.152872682671758131e-01
7.943020984530448914e-01,5.697211374233409620e-01,6.635234401966239037e-01
9.672672152519226074e-01,4.892099851182079573e-01,6.497826122626173539e-01
7.994814142584800720e-01,5.906311809047452011e-01,6.793674893067737086e-01
8.032237514853477478e-01,5.954315572431901904e-01,6.838922587673288422e-01
8.248321235179901789e-01,6.235521295812072040e-01,7.102063227573722770e-01
7.911410853266716003e-01,6.207862184723703658e-01,6.956866423881740147e-01
9.400342702865600586e-01,4.910708952664845084e-01,6.451286485468104015e-01
7.915032878518104553e-01,5.668889077577164981e-01,6.606257541631703756e-01
9.333186745643615723e-01,6.058440794486825709e-01,7.347443819692612843e-01
7.810987904667854309e-01,5.658424668680361869e-01,6.562704409840471875e-01
9.491042494773864746e-01,5.613095765797103676e-01,7.054242952672983291e-01
9.518045783042907715e-01,5.505206390868785382e-01,6.975694192816855876e-01
7.444458703200022009e-01,5.650792932787607192e-01,6.424785990803792979e-01
7.419998943805694580e-01,5.076463730182758649e-01,6.028482859334116650e-01
7.511731286843617017e-01,5.683587427402650993e-01,6.471019370504114132e-01
9.264191985130310059e-01,5.520859866641288916e-01,6.918650842802053225e-01
7.162610391775766638e-01,5.589549097903938613e-01,6.279056105969889057e-01
9.843839406967163086e-01,5.728755231166994255e-01,7.242588381429506672e-01
7.890358030796051914e-01,6.004023170748422622e-01,6.819143905039022346e-01
7.924926355481147766e-01,5.624871597040531634e-01,6.579683818427406461e-01
9.395238161087036133e-01,5.324287388560383638e-01,6.796815275719966243e-01
