P,R,F
8.283766925334931086e-01,7.117286920547485352e-01,7.656352166616571253e-01
8.084890246391296387e-01,4.206519072254498726e-01,5.533823524522626380e-01
7.393988370895385742e-01,4.155051752924919239e-01,5.320339008647011481e-01
1.000000039736429702e+00,4.847706945406065615e-01,6.529906639622816700e-01
7.112068682909011841e-01,4.523298357214246002e-01,5.529693816939775797e-01
9.249476268887519836e-01,6.491219426194826392e-01,7.628681883163311861e-01
9.930773774782816199e-01,4.819308643539746417e-01,6.489382571909917408e-01
7.726534307003021240e-01,6.110383229596273447e-01,6.824075597405758753e-01
1.000000079472859627e+00,3.753568165935576295e-01,5.458319182428571503e-01
8.184136748313903809e-01,3.339578588493168354e-01,4.743534016789084928e-01
9.849823117256164551e-01,4.736666120588779449e-01,6.397060004301959868e-01
3.727772831916809082e-01,1.887307442724704964e-01,2.505913741691863095e-01
8.289064083780560699e-01,4.798807106912136300e-01,6.078546931785778762e-01
2.328590750694274902e-01,1.477937172684404554e-01,1.808215202774848818e-01
9.684353172779083252e-01,4.068680744618177747e-01,5.730014412067279128e-01
7.430585076411564405e-01,5.154509296019871289e-01,6.086727475819506683e-01
8.030489683151245117e-01,3.414616083726287332e-01,4.791749380183718543e-01
9.575237035751342773e-01,2.983446204000049229e-01,4.549394875458064313e-01
7.896307706832885742e-01,3.039856839718089732e-01,4.389773926491409850e-01
9.933349688847858960e-01,3.820575555165608983e-01,5.518586487685417374e-01
6.220506429672241211e-01,2.152071531862020659e-01,3.197814308225120916e-01
8.361970037221908569e-01,3.858322470503695034e-01,5.280262624138547523e-01
1.000000000000000000e+00,3.368460496266683091e-01,5.039414220070246309e-01
7.811219483613968118e-01,4.665609278223094014e-01,5.841884791824357714e-01
1.928360760211944580e-01,9.644648022949696420e-02,1.285826635007650820e-01
9.881210923194885254e-01,2.725008536294540873e-01,4.271920570820125218e-01
8.546538591384887917e-01,3.506348053614298799e-01,4.972607780639078379e-01
7.891661922136942175e-01,2.980554329024420745e-01,4.326905676238714249e-01
